goal_id,baseline,recall@5,precision@5,selected_count,selected_precision,f1@5,false_positive_rate,mrr,ndcg@5,diversity_coverage
G-U0002-01,bm25,0.4166666666666667,1.0,5,1.0,0.5882352941176471,0.0,1.0,0.9062003939260992,0.4
G-U0002-01,dense,0.4166666666666667,1.0,3,1.0,0.5882352941176471,0.0,1.0,0.9701391678366924,0.4
G-U0002-01,hybrid,0.4166666666666667,1.0,5,1.0,0.5882352941176471,0.0,1.0,0.9470469058355147,0.4
G-U0002-01,hybrid_expand,0.4166666666666667,1.0,5,1.0,0.5882352941176471,0.0,1.0,0.9180496861658064,0.4
G-U0002-01,ours,0.4166666666666667,1.0,5,1.0,0.5882352941176471,0.0,1.0,0.9180496861658064,0.4
G-U0002-01,ours_wo_lexical_gate,0.4166666666666667,1.0,5,1.0,0.5882352941176471,0.0,1.0,0.9180496861658064,0.4
G-U0002-02,bm25,0.4166666666666667,1.0,5,1.0,0.5882352941176471,0.0,1.0,0.9329504585718263,0.2
G-U0002-02,dense,0.3333333333333333,0.8,3,1.0,0.47058823529411764,0.0,1.0,0.8607323560787731,0.4
G-U0002-02,hybrid,0.4166666666666667,1.0,5,1.0,0.5882352941176471,0.0,1.0,0.9449917794293741,0.2
G-U0002-02,hybrid_expand,0.4166666666666667,1.0,5,0.8,0.5882352941176471,0.19999999999999996,1.0,0.9521721297441826,0.2
G-U0002-02,ours,0.4166666666666667,1.0,3,1.0,0.5882352941176471,0.0,1.0,0.9726150996884179,0.2
G-U0002-02,ours_wo_lexical_gate,0.4166666666666667,1.0,5,0.8,0.5882352941176471,0.19999999999999996,1.0,0.9400667415573607,0.2
G-U0010-02,bm25,0.3,0.6,5,0.6,0.4,0.4,1.0,0.5855850896466963,0.4
G-U0010-02,dense,0.3,0.6,5,0.4,0.4,0.6,1.0,0.5969720662231133,0.4
G-U0010-02,hybrid,0.3,0.6,5,0.4,0.4,0.6,1.0,0.5991478923760607,0.4
G-U0010-02,hybrid_expand,0.4,0.8,4,0.75,0.5333333333333333,0.25,1.0,0.8770838561007163,0.4
G-U0010-02,ours,0.5,1.0,3,1.0,0.6666666666666666,0.0,1.0,0.9479874302671858,0.2
G-U0010-02,ours_wo_lexical_gate,0.4,0.8,4,0.75,0.5333333333333333,0.25,1.0,0.8681326367028162,0.4
