case,threshold,goal_id,precision_at_k,recall_at_k,f1_at_k,fpr,candidate_count,admitted_count,relevant_count,tp,fp
case1,0.96,G-U0001-01,1.0,0.5,0.6667,0.0,5,5,10,5,0
case2,0.94,G-U0001-01,1.0,0.5,0.6667,0.0,6,5,10,5,0
case3,0.92,G-U0001-01,1.0,0.5,0.6667,0.0,13,5,10,5,0
case4,0.9,G-U0001-01,1.0,0.5,0.6667,0.0,23,5,10,5,0
case5,0.88,G-U0001-01,1.0,0.5,0.6667,0.0,49,5,10,5,0
case6,0.85,G-U0001-01,1.0,0.5,0.6667,0.0,64,5,10,5,0
case1,0.96,G-U0001-02,1.0,0.5,0.6667,0.0,10,5,10,5,0
case2,0.94,G-U0001-02,1.0,0.5,0.6667,0.0,20,5,10,5,0
case3,0.92,G-U0001-02,1.0,0.5,0.6667,0.0,42,5,10,5,0
case4,0.9,G-U0001-02,1.0,0.5,0.6667,0.0,57,5,10,5,0
case5,0.88,G-U0001-02,1.0,0.5,0.6667,0.0,79,5,10,5,0
case6,0.85,G-U0001-02,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0001-03,0.8,0.4,0.5333,0.0141,5,5,10,4,1
case2,0.94,G-U0001-03,0.8,0.4,0.5333,0.0141,14,5,10,4,1
case3,0.92,G-U0001-03,0.8,0.4,0.5333,0.0141,26,5,10,4,1
case4,0.9,G-U0001-03,0.8,0.4,0.5333,0.0141,59,5,10,4,1
case5,0.88,G-U0001-03,0.8,0.4,0.5333,0.0141,79,5,10,4,1
case6,0.85,G-U0001-03,0.8,0.4,0.5333,0.0141,81,5,10,4,1
case1,0.96,G-U0001-04,1.0,0.5,0.6667,0.0,8,5,10,5,0
case2,0.94,G-U0001-04,1.0,0.5,0.6667,0.0,16,5,10,5,0
case3,0.92,G-U0001-04,1.0,0.5,0.6667,0.0,31,5,10,5,0
case4,0.9,G-U0001-04,1.0,0.5,0.6667,0.0,61,5,10,5,0
case5,0.88,G-U0001-04,1.0,0.5,0.6667,0.0,79,5,10,5,0
case6,0.85,G-U0001-04,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0001-05,0.8,0.4,0.5333,0.0141,6,5,10,4,1
case2,0.94,G-U0001-05,0.8,0.4,0.5333,0.0141,23,5,10,4,1
case3,0.92,G-U0001-05,0.8,0.4,0.5333,0.0141,47,5,10,4,1
case4,0.9,G-U0001-05,0.8,0.4,0.5333,0.0141,75,5,10,4,1
